Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Aarne Talvitie,Tampa Bay,C/LW,75,15,25,40,-19,0,0,0,0,0,0,0,1,0,0,0,154,9.7,16,20,92,0.45,42,0,0,0,0,0,0,0,13:53,0:00,0:30,59,78,0,7.00,
Jean-Edouard Bedin,NY Islanders,C,68,14,26,40,-12,18,2,1,3,0,0,0,2,0,0,0,96,14.6,11,6,8,0.42,49,9,0,0,0,0,0,0,13:56,0:13,0:00,48,60,1,6.53,
Justin Schultz,Dallas,RD,82,10,30,40,22,38,0,0,0,0,0,0,1,0,1,0,127,7.9,9,34,158,0,94,19,0,0,0,0,0,0,18:26,0:00,0:18,105,83,0,7.28,
Zach Werenski,Columbus,LD,80,9,31,40,23,6,4,7,11,0,0,0,0,0,3,0,188,4.8,27,36,293,0,115,3,0,0,0,0,0,0,21:32,1:32,0:47,114,91,1,7.69,
Josh Brook,Montreal,RD,82,6,34,40,1,18,1,5,6,0,0,0,0,0,2,0,136,4.4,38,22,105,0,109,9,0,0,0,0,0,0,19:17,1:38,0:54,104,103,1,7.45,
Jared Spurgeon,Florida,RD/LD,81,5,35,40,9,8,2,4,6,0,0,0,1,0,1,0,152,3.3,8,24,95,0,128,4,0,0,0,0,0,0,19:45,0:41,0:12,98,89,0,7.43,
Chase Priskie,Arizona,RD/LD,76,5,35,40,6,20,1,6,7,0,0,0,2,0,3,0,124,4.0,18,31,112,0,123,10,0,0,0,0,0,0,22:15,1:15,0:56,115,109,0,7.22,
Nikita Alexandrov,NY Islanders,C,82,21,18,39,-40,20,0,0,0,0,0,0,4,0,2,0,133,15.8,6,10,0,0.32,35,10,0,0,0,0,0,0,13:49,0:00,0:00,55,95,0,5.89,
Marcus Almquist,Buffalo,RW,63,20,19,39,-5,2,0,0,0,0,0,0,3,0,2,0,201,10.0,3,15,6,0,31,1,0,0,0,0,0,0,13:30,0:00,0:00,47,52,0,7.17,
Jonathan Toews,Philadelphia,C,82,18,21,39,-15,8,2,1,3,0,0,0,1,1,1,0,130,13.8,15,8,129,0.61,69,4,0,0,0,0,0,0,13:54,0:44,0:42,55,70,0,6.88,
Pavel Zacha,Winnipeg,C/LW,79,17,22,39,-16,36,0,1,1,0,0,0,0,1,1,0,102,16.7,9,13,74,0.51,69,18,0,0,0,0,0,0,13:38,0:02,0:00,50,66,0,6.14,
Louis Pédemonte,NY Rangers,C,47,15,24,39,7,12,3,3,6,0,0,0,1,0,2,0,81,18.5,10,5,2,0.51,35,6,0,0,0,0,0,0,14:50,0:51,0:02,47,40,2,6.74,
Dylan Coghlan,Pittsburgh,RD,80,12,27,39,8,36,0,0,0,0,0,0,3,0,1,0,120,10.0,89,29,95,0,187,18,0,0,0,0,0,0,18:29,0:02,1:39,108,100,2,7.32,
