Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Andrew Cogliano,Lehigh Valley,LW,9,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,18,11.1,7,2,0,0,1,0,0,0,0,0,0,0,12:00,0:00,0:00,4,2,0,6.78,
Denis Zernov,Montreal,C/RW/LW,3,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,10,10.0,0,1,0,0,2,0,0,0,0,0,0,0,15:20,0:22,0:00,5,0,0,7.67,
Cole Fonstad,Laval,LW/C,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,11,9.1,0,1,1,0,4,0,0,0,0,0,0,0,13:23,0:00,0:00,4,2,0,7.75,
Gordon Green,Rochester,RW,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,20.0,0,1,0,0,2,0,0,0,0,0,0,0,10:08,0:00,0:00,3,2,0,6.83,
Nicholas Halloran,Binghamton,RW,6,1,1,2,-2,0,0,0,0,0,0,0,0,0,0,0,15,6.7,0,0,1,0,3,0,0,0,0,0,0,0,12:50,0:00,0:00,3,5,0,7.17,
Brock McGinn,Pittsburgh,LW/RW,4,1,1,2,-5,0,0,0,0,0,0,0,0,0,0,0,7,14.3,5,0,1,0,0,0,0,0,0,0,0,0,9:15,0:00,0:00,1,6,0,7.25,
Cross Hanas,Hartford,LW/C,8,1,1,2,-7,0,0,0,0,0,0,0,0,0,0,0,11,9.1,0,1,2,0,2,0,0,0,0,0,0,0,13:59,0:00,0:00,2,9,0,6.25,
Jamieson Rees,Charlotte,C,10,1,1,2,-8,2,0,0,0,0,0,0,0,0,0,0,14,7.1,2,4,1,0.13,3,1,0,0,0,0,0,0,12:48,0:00,0:00,3,11,0,6.30,
Dylan D'Agostino,Ontario,LW/C,9,1,1,2,-13,2,0,0,0,0,0,0,0,0,0,0,5,20.0,0,1,0,0.01,4,1,0,0,0,0,0,0,13:26,0:00,0:00,2,15,0,4.78,
Brendan Lemieux,Ontario,LW,12,1,1,2,-1,4,0,0,0,0,0,0,1,0,0,0,20,5.0,4,4,10,0,0,2,0,0,0,0,0,0,13:49,0:00,0:00,7,8,0,6.50,
